timestamps,TP9,AF7,AF8,TP10,Right AUX
1709291953.329,-36.621,-66.406,-23.926,-24.902,0.000
1709291953.333,-41.504,-62.988,-23.926,-28.809,0.000
1709291953.337,-35.156,-66.406,-21.973,-29.785,0.000
1709291953.341,-25.391,-71.289,-25.391,-23.926,0.000
1709291953.345,-27.344,-68.848,-23.438,-29.785,0.000
1709291953.349,-30.762,-67.871,-23.926,-35.156,0.000
1709291953.353,-30.762,-69.336,-24.902,-23.926,0.000
1709291953.357,-30.762,-62.988,-27.344,-15.137,0.000
1709291953.361,-27.832,-60.547,-30.762,-16.602,0.000
1709291953.364,-30.273,-60.547,-22.461,-21.484,0.000
1709291953.368,-29.785,-53.711,-19.531,-26.855,0.000
1709291953.372,-29.785,-57.617,-21.973,-28.320,0.000
1709291953.376,-27.832,-58.105,-24.414,-22.461,0.000
1709291953.380,-25.391,-53.711,-27.344,-27.832,0.000
1709291953.384,-26.367,-54.688,-26.367,-32.227,0.000
1709291953.388,-22.461,-53.711,-28.809,-27.344,0.000
1709291953.392,-28.320,-51.270,-27.832,-27.344,0.000
1709291953.396,-31.738,-54.199,-25.879,-22.949,0.000
1709291953.400,-20.508,-49.316,-24.414,-23.926,0.000
1709291953.403,-16.602,-45.898,-20.020,-24.902,0.000
1709291953.407,-24.902,-53.223,-22.461,-21.973,0.000
1709291953.411,-35.645,-50.293,-26.855,-28.809,0.000
1709291953.415,-37.109,-50.293,-26.855,-32.715,0.000
1709291953.419,-27.344,-52.246,-27.344,-27.344,0.000
1709291953.423,-18.555,-48.340,-20.508,-26.855,0.000
1709291953.427,-21.973,-48.828,-18.066,-36.133,0.000
1709291953.431,-28.320,-56.152,-22.949,-40.527,0.000
1709291953.434,-28.320,-49.316,-20.020,-35.156,0.000
1709291953.438,-20.996,-45.898,-21.973,-30.762,0.000
1709291953.442,-20.020,-50.293,-20.996,-26.367,0.000
1709291953.446,-26.367,-45.898,-18.066,-29.785,0.000
1709291953.450,-33.691,-48.340,-25.391,-29.785,0.000
1709291953.454,-33.691,-48.828,-23.438,-25.879,0.000
1709291953.458,-25.391,-47.852,-24.902,-30.762,0.000
1709291953.462,-25.391,-52.734,-28.320,-32.227,0.000
1709291953.466,-26.855,-52.246,-25.391,-32.715,0.000
1709291953.469,-31.738,-55.664,-29.785,-43.457,0.000
1709291953.473,-33.691,-53.711,-27.832,-38.574,0.000
1709291953.477,-33.203,-53.711,-25.879,-34.668,0.000
1709291953.481,-34.180,-55.664,-25.879,-37.598,0.000
1709291953.485,-27.832,-51.758,-24.414,-27.832,0.000
1709291953.489,-28.809,-54.688,-25.879,-29.785,0.000
1709291953.493,-30.762,-48.828,-22.949,-25.879,0.000
1709291953.497,-29.785,-45.410,-22.461,-17.090,0.000
1709291953.500,-30.762,-49.805,-22.949,-29.297,0.000
1709291953.504,-24.414,-50.781,-16.602,-36.133,0.000
1709291953.508,-24.414,-48.828,-13.184,-35.645,0.000
1709291953.512,-26.855,-46.387,-15.625,-30.273,0.000
1709291953.515,0.000,-52.734,-20.508,-22.949,0.000
1709291953.519,0.000,-53.711,-24.414,-26.367,0.000
1709291953.523,0.000,-54.199,-24.414,-33.691,0.000
1709291953.527,0.000,-55.176,-20.508,-31.738,0.000
1709291953.531,0.000,-49.316,-17.090,-26.855,0.000
1709291953.535,0.000,-53.223,-18.555,-22.949,0.000
1709291953.539,0.000,-55.176,-20.020,-20.020,0.000
1709291953.543,0.000,-49.316,-20.996,-14.648,0.000
1709291953.547,0.000,-54.688,-22.461,-17.578,0.000
1709291953.551,0.000,-57.129,-23.438,-24.414,0.000
1709291953.555,0.000,-54.688,-24.902,-22.949,0.000
1709291953.558,0.000,-55.176,-28.809,-26.855,0.000
1709291953.567,-35.156,-51.758,-29.297,-31.738,0.000
1709291953.571,-32.715,-51.758,-24.414,-26.855,0.000
1709291953.574,-44.434,-56.641,-21.484,-26.855,0.000
1709291953.578,-47.852,-54.199,-22.949,-27.832,0.000
1709291953.582,-35.645,-52.734,-17.578,-25.391,0.000
1709291953.586,-34.668,-54.199,-12.695,-23.438,0.000
1709291953.590,-32.715,-50.293,-11.230,-23.438,0.000
1709291953.594,-28.320,-47.852,-15.625,-22.461,0.000
1709291953.598,-28.320,-47.363,-13.672,-20.508,0.000
1709291953.602,-24.414,-47.363,-14.160,-13.184,0.000
1709291953.606,-15.137,-45.898,-19.531,-10.742,0.000
1709291953.610,-16.602,-45.410,-17.090,-18.555,0.000
1709291953.614,0.000,-47.852,0.000,-21.484,0.000
1709291953.618,0.000,-45.898,0.000,-24.414,0.000
1709291953.622,0.000,-45.410,0.000,-28.809,0.000
1709291953.626,0.000,-44.434,0.000,-30.762,0.000
1709291953.630,0.000,-47.363,0.000,-26.855,0.000
1709291953.633,0.000,-50.781,0.000,-22.949,0.000
1709291953.637,0.000,-50.293,0.000,-15.625,0.000
1709291953.641,0.000,-49.316,0.000,-20.020,0.000
1709291953.645,0.000,-55.176,0.000,-30.762,0.000
1709291953.649,0.000,-53.223,0.000,-28.320,0.000
1709291953.653,0.000,-43.457,0.000,-23.438,0.000
1709291953.657,0.000,-47.852,0.000,-19.531,0.000
1709291953.661,-32.715,-61.035,-22.949,-23.438,0.000
1709291953.665,-30.273,-59.082,-24.414,-24.414,0.000
