timestamps,TP9,AF7,AF8,TP10,Right AUX
1709375715.233,-130.371,-45.410,-38.574,-68.359,0.000
1709375715.237,-59.082,-38.574,-35.645,-39.062,0.000
1709375715.241,80.078,-30.273,-36.621,7.812,0.000
1709375715.245,63.477,-36.621,-40.039,4.395,0.000
1709375715.248,-78.613,-48.828,-41.992,-41.992,0.000
1709375715.252,-114.258,-48.340,-37.109,-54.688,0.000
1709375715.256,-69.824,-40.039,-35.156,-41.992,0.000
1709375715.260,57.617,-29.297,-40.527,4.883,0.000
1709375715.264,71.289,-35.645,-37.598,16.602,0.000
1709375715.268,-74.707,-47.852,-36.133,-35.156,0.000
1709375715.272,-131.348,-41.504,-41.016,-76.172,0.000
1709375715.276,-89.355,-36.133,-41.504,-68.359,0.000
1709375715.280,41.992,-29.785,-38.574,-11.719,0.000
1709375715.284,79.590,-24.902,-34.180,11.230,0.000
1709375715.288,-62.500,-38.086,-37.109,-43.945,0.000
1709375715.292,-137.207,-41.992,-40.039,-80.078,0.000
1709375715.295,-105.469,-36.133,-40.039,-75.195,0.000
1709375715.299,23.438,-33.691,-39.551,-30.762,0.000
1709375715.303,85.449,-27.832,-39.062,6.836,0.000
1709375715.307,-48.828,-33.203,-40.039,-42.480,0.000
1709375715.311,-145.508,-51.270,-43.945,-84.473,0.000
1709375715.315,-131.836,-46.387,-41.992,-81.055,0.000
1709375715.319,0.000,-28.809,-38.086,-37.109,0.000
1709375715.323,94.238,-24.902,-33.203,7.324,0.000
1709375715.327,-27.344,-36.621,-33.203,-30.762,0.000
1709375715.331,-127.441,-38.574,-39.062,-73.730,0.000
1709375715.335,-117.676,-35.645,-40.527,-70.312,0.000
1709375715.338,-12.695,-29.785,-38.086,-29.297,0.000
1709375715.342,95.215,-21.973,-35.156,19.531,0.000
1709375715.346,-4.395,-29.785,-37.598,-15.625,0.000
1709375715.350,-123.535,-37.598,-44.434,-63.477,0.000
1709375715.354,-127.441,-41.016,-42.969,-63.477,0.000
1709375715.358,-31.250,-42.480,-35.645,-23.926,0.000
