timestamps,TP9,AF7,AF8,TP10,Right AUX
1709298760.517,-46.387,-41.016,-49.805,-38.086,0.000
1709298760.521,-34.180,-38.574,-48.828,-31.250,0.000
1709298760.525,-33.691,-44.434,-46.387,-30.762,0.000
1709298760.529,-38.574,-41.016,-42.480,-39.551,0.000
1709298760.532,-42.480,-39.551,-40.527,-45.898,0.000
1709298760.536,-45.898,-39.551,-41.504,-44.434,0.000
1709298760.540,-43.945,-34.180,-38.086,-25.879,0.000
1709298760.544,-39.062,-32.715,-38.086,-34.668,0.000
1709298760.548,-41.992,-39.551,-45.410,-63.965,0.000
1709298760.552,-52.734,-47.852,-50.293,-70.312,0.000
1709298760.556,-43.457,-47.852,-41.504,-56.641,0.000
1709298760.560,-37.109,-43.945,-37.109,-49.805,0.000
1709298760.564,-39.551,-36.621,0.000,-59.570,0.000
1709298760.568,-47.363,-36.133,0.000,-65.918,0.000
1709298760.572,-58.105,-40.039,0.000,-63.965,0.000
1709298760.575,-54.688,-42.969,0.000,-56.152,0.000
1709298760.579,-42.969,-45.898,0.000,-46.875,0.000
1709298760.583,-46.875,-47.363,0.000,-36.621,0.000
1709298760.587,-46.875,-46.387,0.000,-35.645,0.000
1709298760.591,-51.270,-44.922,0.000,-47.363,0.000
1709298760.595,-62.988,-43.945,0.000,-49.316,0.000
1709298760.599,-56.641,-46.875,0.000,-32.715,0.000
1709298760.603,-53.223,-54.199,0.000,-29.297,0.000
1709298760.607,-50.781,-54.688,0.000,-41.504,0.000
1709298760.611,-42.969,-57.617,-37.598,-45.410,0.000
1709298760.615,-39.062,-43.457,-37.598,-30.762,0.000
1709298760.618,-39.551,-31.250,-48.828,-23.438,0.000
1709298760.622,-24.902,-30.762,-44.434,-19.531,0.000
1709298760.626,-16.602,-32.715,-37.109,-19.043,0.000
1709298760.630,-22.461,-40.527,-41.016,-32.715,0.000
1709298760.634,-19.531,-41.504,-40.527,-40.039,0.000
1709298760.638,-9.277,-36.621,-40.527,-36.133,0.000
1709298760.642,-11.719,-39.062,-31.738,-24.414,0.000
1709298760.646,-21.484,-55.176,-30.273,-19.531,0.000
1709298760.650,-24.902,-55.176,-34.668,-33.691,0.000
1709298760.654,-30.273,-42.480,-38.574,-41.504,0.000
1709298760.657,-31.738,-35.156,-37.598,-32.227,0.000
1709298760.661,-25.879,-34.180,-36.133,-32.227,0.000
1709298760.665,-25.879,-35.645,-43.945,-44.922,0.000
1709298760.669,-39.551,-38.086,-47.852,-53.223,0.000
1709298760.673,-48.340,-43.457,-45.898,-52.734,0.000
1709298760.677,-47.363,-47.363,-42.480,-48.340,0.000
1709298760.681,-48.828,-48.340,-41.992,-42.480,0.000
1709298760.685,-45.898,-44.434,-47.363,-53.223,0.000
1709298760.689,-44.434,-55.176,-45.410,-52.734,0.000
1709298760.693,-44.434,-61.035,-44.434,-38.086,0.000
