timestamps,TP9,AF7,AF8,TP10,Right AUX
1709212119.814,-54.199,-42.480,-36.133,-59.082,0.000
1709212119.818,-56.152,-35.645,-37.598,-54.688,0.000
1709212119.822,-54.688,-39.062,-39.551,-49.805,0.000
1709212119.826,-48.828,-34.668,-34.668,-44.922,0.000
1709212119.830,-53.711,-34.668,-41.992,-47.363,0.000
1709212119.833,-59.082,-35.156,-53.711,-54.199,0.000
1709212119.837,-52.734,-32.715,-48.828,-49.805,0.000
1709212119.841,-38.086,-38.086,-39.551,-41.016,0.000
1709212119.845,-29.297,-49.805,-32.715,-33.203,0.000
1709212119.849,-36.621,-42.480,-36.621,-30.762,0.000
1709212119.853,-48.828,-30.273,-39.062,-41.504,0.000
1709212119.857,-53.223,-39.551,-34.668,-41.992,0.000
1709212119.861,-44.922,-44.434,-30.762,-32.715,0.000
1709212119.865,-33.203,-41.504,-34.180,-25.879,0.000
1709212119.869,-37.598,-40.527,-44.434,-26.855,0.000
1709212119.873,-40.527,-37.109,-39.062,-27.832,0.000
1709212119.876,-40.039,-42.480,-37.109,-27.832,0.000
1709212119.880,-37.598,-41.016,-42.969,-23.926,0.000
1709212119.884,-30.273,-35.156,-37.598,-22.949,0.000
1709212119.888,-32.227,-38.574,-32.227,-23.438,0.000
1709212119.892,-36.621,-46.875,-35.645,-15.625,0.000
1709212119.896,-46.875,-55.176,-36.133,-16.602,0.000
1709212119.900,-50.781,-42.969,-32.227,-26.367,0.000
1709212119.904,-42.969,-36.621,-28.809,-27.832,0.000
1709212119.908,-41.504,-46.387,-32.227,-33.203,0.000
1709212119.912,-42.969,-50.293,-33.203,-41.504,0.000
1709212119.915,-44.922,-49.316,-39.062,-40.039,0.000
1709212119.919,-37.109,-37.109,-44.922,-31.250,0.000
1709212119.923,-30.762,-25.391,-43.945,-29.785,0.000
1709212119.927,-30.762,-39.062,-43.457,-32.227,0.000
1709212119.931,-31.250,-44.922,-41.016,-38.086,0.000
1709212119.935,-40.527,-40.527,-49.805,-40.527,0.000
1709212119.939,-39.551,-44.922,-54.688,-33.203,0.000
1709212119.943,-25.391,-42.480,-44.434,-38.574,0.000
1709212119.947,-25.879,-36.133,-49.805,-45.898,0.000
1709212119.951,-38.574,-41.016,-54.688,-55.176,0.000
1709212119.955,-46.875,-40.527,-44.922,-43.945,0.000
1709212119.959,-45.898,-34.668,-45.410,-31.738,0.000
1709212119.963,-39.551,-38.574,-46.387,-32.715,0.000
1709212119.966,-25.879,-49.805,-42.969,-25.879,0.000
1709212119.970,-31.738,-48.828,-36.621,-31.738,0.000
1709212119.974,-46.875,-38.086,-31.738,-30.273,0.000
1709212119.978,-41.016,-37.598,-35.156,-25.391,0.000
1709212119.982,-32.227,-41.016,-37.109,-13.184,0.000
1709212119.986,-29.785,-35.645,-34.180,-12.207,0.000
1709212119.990,-28.809,-39.062,-39.551,-21.973,0.000
1709212119.994,-31.738,-42.480,-38.574,-26.367,0.000
1709212119.998,-34.180,-29.785,-31.250,-27.344,0.000
1709212120.002,-38.086,-25.391,-37.109,-23.926,0.000
1709212120.005,-37.598,-41.504,-44.922,-24.414,0.000
1709212120.009,-37.598,-55.664,-42.969,-25.391,0.000
1709212120.013,-44.922,-50.293,-38.574,-32.227,0.000
1709212120.017,-50.781,-44.434,-34.180,-34.668,0.000
1709212120.021,-48.340,-43.457,-29.785,-31.738,0.000
1709212120.025,-42.969,-33.203,-34.668,-33.691,0.000
1709212120.029,-36.133,-20.508,-29.785,-35.645,0.000
1709212120.033,-37.109,-26.855,-32.227,-39.551,0.000
1709212120.037,-40.039,-31.250,-38.086,-40.527,0.000
1709212120.041,-35.156,-33.203,-34.180,-34.668,0.000
1709212120.044,-37.109,-43.457,-34.668,-30.273,0.000
1709212120.048,-42.480,-42.969,-40.527,-38.574,0.000
1709212120.052,-42.969,-32.715,-41.992,-39.551,0.000
1709212120.056,-39.062,-30.273,-41.016,-34.180,0.000
1709212120.060,-36.133,-33.691,-40.527,-40.527,0.000
1709212120.064,-35.156,-40.527,-43.457,-41.992,0.000
1709212120.068,-25.879,-41.016,-45.898,-42.480,0.000
1709212120.072,-35.156,-34.668,-47.852,-48.340,0.000
1709212120.076,-47.363,-35.645,-50.293,-45.898,0.000
1709212120.080,-41.992,-33.691,-54.199,-41.504,0.000
1709212120.083,-32.715,-26.367,-46.387,-30.762,0.000
1709212120.087,-41.016,-28.809,-34.180,-32.227,0.000
1709212120.091,-60.547,-34.668,-30.273,-42.969,0.000
1709212120.095,-64.453,-41.992,-39.551,-46.875,0.000
1709212120.099,-56.152,-43.945,-41.992,-43.457,0.000
1709212120.103,-44.922,-41.992,-39.551,-43.457,0.000
