timestamps,TP9,AF7,AF8,TP10,Right AUX
1709298474.769,-4.883,-43.945,-32.715,2.930,0.000
1709298474.773,-8.789,-35.156,-36.133,-2.930,0.000
1709298474.777,-2.441,-31.250,-38.086,4.395,0.000
1709298474.781,-1.465,-40.039,-40.527,7.812,0.000
1709298474.785,4.883,-43.457,-39.551,10.254,0.000
1709298474.788,7.812,-41.016,-36.133,8.301,0.000
1709298474.792,5.859,-41.016,-31.738,-0.488,0.000
1709298474.796,3.906,-33.203,-29.297,2.930,0.000
1709298474.800,7.324,-33.691,-24.414,10.254,0.000
1709298474.804,12.695,-40.039,-28.320,22.949,0.000
1709298474.808,10.742,-43.457,-33.691,8.789,0.000
1709298474.812,4.395,-37.109,-26.367,-1.953,0.000
1709298474.816,1.465,-31.250,-24.902,7.324,0.000
1709298474.820,7.324,-31.738,-29.297,10.742,0.000
1709298474.824,7.812,-22.949,-32.227,14.160,0.000
1709298474.828,9.277,-24.414,-29.297,10.742,0.000
1709298474.832,0.000,-44.922,-30.273,-7.324,0.000
1709298474.836,-13.184,-49.805,-37.109,-7.324,0.000
1709298474.839,-13.184,-44.434,-43.945,1.465,0.000
1709298474.843,-8.301,-45.410,-45.410,0.977,0.000
1709298474.847,-5.859,-41.992,-38.574,3.906,0.000
1709298474.851,-11.230,-47.363,-37.109,0.977,0.000
1709298474.855,-22.461,-58.105,-41.016,-10.254,0.000
1709298474.859,-18.066,-45.898,-42.480,-0.977,0.000
1709298474.863,-3.418,-31.738,-39.551,12.695,0.000
1709298474.867,-3.906,-48.828,-36.133,-1.465,0.000
1709298474.871,-18.066,-57.617,-36.621,-21.973,0.000
1709298474.875,-20.020,-58.594,-31.738,-17.090,0.000
1709298474.879,-11.719,-56.641,-24.414,-7.324,0.000
1709298474.882,-12.207,-54.199,-30.273,-2.441,0.000
1709298474.886,-7.812,-54.688,-38.086,5.371,0.000
1709298474.890,-6.836,-47.363,-34.180,-7.812,0.000
1709298474.894,-17.578,-41.016,-31.250,-11.719,0.000
1709298474.898,-18.555,-41.504,-24.414,-6.348,0.000
1709298474.902,-10.254,-46.875,-22.949,-3.906,0.000
1709298474.906,-3.906,-49.316,-28.809,3.418,0.000
1709298474.910,-7.812,-47.852,-35.156,-7.324,0.000
1709298474.914,-25.391,-51.270,-37.598,-23.926,0.000
1709298474.918,-27.832,-50.781,-26.855,-16.602,0.000
1709298474.922,-13.184,-42.969,-23.438,2.441,0.000
1709298474.925,-0.488,-44.434,-31.250,6.348,0.000
1709298474.929,4.395,-49.316,-24.902,-1.953,0.000
1709298474.933,-3.906,-48.828,-23.926,-7.812,0.000
1709298474.937,-8.301,-43.457,-28.809,6.348,0.000
1709298474.941,-1.953,-33.691,-30.762,19.531,0.000
1709298474.945,-0.977,-31.738,-29.297,14.648,0.000
1709298474.949,-2.930,-41.504,-21.973,7.812,0.000
1709298474.953,-12.207,-39.551,-24.902,-3.418,0.000
1709298474.957,-12.207,-37.598,-34.668,-2.441,0.000
1709298474.961,-1.465,-36.621,-32.715,13.184,0.000
1709298474.964,0.000,-38.086,-33.691,13.184,0.000
1709298474.968,-5.371,-53.223,-40.527,-0.488,0.000
1709298474.972,-20.020,-46.387,-41.016,-5.859,0.000
1709298474.976,-26.367,-40.039,-37.109,-7.812,0.000
1709298474.980,-14.160,-34.180,-35.156,8.301,0.000
1709298474.984,-4.395,-38.086,-37.598,20.996,0.000
1709298474.988,-8.301,-49.805,-37.598,5.371,0.000
1709298474.992,-18.066,-43.945,-29.785,-14.160,0.000
1709298474.996,-26.367,-44.434,-31.738,-13.672,0.000
1709298475.000,-15.625,-45.410,-37.598,4.395,0.000
1709298475.004,-2.930,-42.480,-35.156,9.766,0.000
1709298475.007,-3.906,-35.156,-31.738,-3.906,0.000
1709298475.011,-7.812,-36.621,-36.621,-8.301,0.000
1709298475.015,-8.301,-39.062,-31.738,-0.977,0.000
1709298475.019,-8.789,-31.250,-24.902,4.883,0.000
1709298475.023,-7.812,-31.738,-27.832,3.418,0.000
1709298475.027,0.977,-42.480,-35.156,-0.488,0.000
1709298475.031,-1.953,-43.457,-41.016,-7.324,0.000
1709298475.035,-10.742,-30.762,-41.504,-15.625,0.000
1709298475.039,-10.254,-35.645,-31.738,-1.953,0.000
1709298475.043,-8.301,-39.551,-28.320,4.395,0.000
1709298475.046,-6.836,-35.645,-37.109,-8.789,0.000
1709298475.051,-15.625,-33.691,-40.039,-23.438,0.000
1709298475.054,-15.137,-31.250,-30.762,-17.578,0.000
1709298475.058,-4.883,-43.457,-24.902,-6.348,0.000
1709298475.062,-1.953,-41.016,-25.391,-4.395,0.000
1709298475.066,-1.953,-28.320,-31.250,-11.719,0.000
1709298475.070,-8.789,-38.086,-33.691,-24.414,0.000
1709298475.074,-13.672,-44.922,-34.180,-11.230,0.000
1709298475.078,-19.531,-34.668,-41.992,-4.395,0.000
1709298475.082,-8.789,-35.645,-40.039,-6.836,0.000
1709298475.086,1.953,-42.969,-37.109,-3.418,0.000
1709298475.090,-7.812,-38.574,-39.062,-7.812,0.000
1709298475.094,-14.648,-37.598,-34.668,-10.254,0.000
1709298475.098,-20.508,-47.852,-34.180,-13.672,0.000
1709298475.102,-10.254,-48.340,-38.574,-0.977,0.000
1709298475.106,1.465,-46.387,-40.039,5.371,0.000
1709298475.109,-10.254,-49.316,-42.480,-14.648,0.000
1709298475.113,-12.695,-45.410,-41.504,-14.648,0.000
1709298475.117,-10.254,-47.363,-39.062,0.000,0.000
1709298475.121,-6.348,-44.922,-39.551,2.441,0.000
1709298475.125,0.488,-41.016,-40.039,0.977,0.000
1709298475.129,-0.488,-42.480,-35.645,7.324,0.000
1709298475.133,-10.254,-42.969,-32.715,6.348,0.000
1709298475.137,-23.926,-48.340,-35.156,-8.789,0.000
1709298475.141,-19.531,-39.062,-28.320,-6.348,0.000
1709298475.145,-4.883,-41.504,-25.391,3.906,0.000
1709298475.149,-0.977,-59.570,-34.668,-9.766,0.000
1709298475.153,-6.348,-49.316,-35.156,-14.648,0.000
1709298475.157,-22.949,-41.016,-36.133,-13.184,0.000
1709298475.160,-24.902,-44.434,-35.645,-14.160,0.000
1709298475.164,-15.137,-36.133,-36.621,-6.348,0.000
1709298475.168,-10.742,-33.691,-37.598,-3.418,0.000
1709298475.172,-21.484,-37.109,-33.691,-13.672,0.000
1709298475.176,-31.250,-36.133,-34.668,-16.113,0.000
1709298475.180,-22.949,-36.621,-34.180,3.418,0.000
1709298475.184,-19.043,-40.039,-37.598,6.836,0.000
1709298475.188,-18.066,-44.434,-44.434,-3.906,0.000
1709298475.192,-18.555,-43.945,-37.598,-12.695,0.000
1709298475.196,-28.320,-52.246,-36.621,-14.648,0.000
1709298475.200,-26.855,-53.223,-44.922,-8.789,0.000
1709298475.204,-9.766,-42.969,-45.410,-3.418,0.000
1709298475.207,-5.859,-31.250,-43.457,-2.441,0.000
1709298475.211,-14.160,-26.367,-42.969,-11.719,0.000
1709298475.215,-22.949,-29.297,-40.527,-13.184,0.000
1709298475.219,-22.461,-27.832,-36.133,-6.348,0.000
1709298475.223,-4.883,-25.879,-35.645,10.254,0.000
1709298475.227,4.395,-31.250,-35.645,13.672,0.000
1709298475.231,-1.465,-37.109,-39.551,-6.836,0.000
1709298475.235,-9.277,-36.133,-43.457,-12.207,0.000
1709298475.239,-11.719,-37.109,-40.039,-6.348,0.000
1709298475.243,-1.465,-39.551,-38.574,7.812,0.000
1709298475.247,10.742,-25.879,-36.621,20.508,0.000
1709298475.250,3.906,-15.137,-39.551,7.812,0.000
1709298475.254,-8.789,-23.438,-43.945,-1.465,0.000
1709298475.258,-8.789,-26.367,-42.969,8.789,0.000
1709298475.262,-6.348,-35.156,-41.016,19.043,0.000
1709298475.266,2.441,-39.062,-34.668,25.391,0.000
1709298475.270,0.000,-33.203,-29.785,23.438,0.000
1709298475.274,-17.090,-33.691,-32.227,6.836,0.000
1709298475.278,-15.625,-31.738,-29.297,3.418,0.000
1709298475.282,-5.859,-36.621,-24.414,11.719,0.000
1709298475.286,-1.953,-42.969,-23.438,9.766,0.000
1709298475.290,-10.254,-38.574,-33.203,-6.348,0.000
1709298475.293,-14.648,-37.598,-32.715,-18.555,0.000
1709298475.297,-16.113,-37.598,-28.809,-14.648,0.000
1709298475.301,-9.766,-31.738,-30.762,-5.859,0.000
1709298475.305,3.418,-29.785,-34.668,1.465,0.000
1709298475.309,12.695,-26.855,-33.691,0.977,0.000
1709298475.313,13.184,-31.250,-26.367,-4.883,0.000
1709298475.317,4.883,-39.062,-27.832,-6.348,0.000
1709298475.321,13.184,-31.250,-27.344,0.000,0.000
1709298475.325,28.320,-21.484,-24.414,8.301,0.000
1709298475.329,21.484,-36.621,-31.250,-5.859,0.000
1709298475.332,4.883,-49.316,-37.598,-22.461,0.000
1709298475.336,-2.441,-35.645,-39.062,-19.043,0.000
1709298475.340,3.418,-26.367,-38.086,-4.883,0.000
1709298475.344,16.602,-20.996,-37.109,0.000,0.000
1709298475.348,11.230,-24.414,-39.551,-7.812,0.000
1709298475.352,-3.418,-33.203,-46.387,-16.602,0.000
1709298475.356,-5.859,-38.574,-43.945,-19.043,0.000
1709298475.360,0.488,-33.203,-36.133,1.465,0.000
1709298475.364,4.395,-39.551,-33.203,5.859,0.000
1709298475.368,3.906,-45.898,-38.574,-5.859,0.000
1709298475.371,-2.441,-28.320,-39.062,-12.207,0.000
1709298475.375,-2.930,-25.879,-36.133,-8.789,0.000
1709298475.379,3.906,-33.203,-37.598,6.348,0.000
1709298475.383,3.418,-29.785,-38.574,12.695,0.000
1709298475.387,1.465,-30.273,-30.273,12.695,0.000
1709298475.391,-16.602,-41.504,-34.180,-4.395,0.000
1709298475.395,-26.855,-37.598,-41.504,-8.301,0.000
1709298475.399,-18.555,-31.250,-31.738,6.348,0.000
1709298475.403,-6.836,-28.809,-23.926,23.438,0.000
1709298475.407,-5.371,-30.762,-22.949,25.391,0.000
1709298475.411,-15.137,-41.016,-30.273,5.371,0.000
1709298475.414,-20.020,-51.270,-33.203,-1.953,0.000
1709298475.418,-20.508,-53.711,-31.250,6.836,0.000
1709298475.422,-18.066,-48.828,-36.133,10.742,0.000
1709298475.426,-13.184,-47.852,-37.109,4.395,0.000
1709298475.430,-10.254,-35.156,-33.203,-2.441,0.000
1709298475.434,-18.066,-38.574,-30.762,-16.602,0.000
1709298475.438,-19.531,-36.133,-20.508,-9.277,0.000
1709298475.442,-14.648,-23.926,-20.996,4.883,0.000
1709298475.445,-7.812,-26.855,-29.297,6.348,0.000
1709298475.449,-8.301,-33.691,-22.949,1.465,0.000
1709298475.453,-21.484,-42.480,-23.438,-19.531,0.000
1709298475.457,-17.578,-35.645,-22.949,-10.254,0.000
1709298475.461,-0.977,-29.785,-21.484,4.395,0.000
1709298475.465,0.488,-29.297,-30.762,3.418,0.000
1709298475.469,-4.395,-42.480,-29.785,-0.488,0.000
1709298475.472,-6.836,-47.852,-26.855,-7.324,0.000
1709298475.476,-13.184,-28.320,-32.715,-5.859,0.000
1709298475.480,-11.719,-20.508,-30.273,-0.488,0.000
1709298475.484,-5.859,-34.668,-27.344,2.441,0.000
1709298475.488,-4.883,-39.551,-31.250,-6.836,0.000
1709298475.492,-11.230,-37.109,-31.738,-13.184,0.000
1709298475.496,-19.043,-37.109,-30.762,-3.906,0.000
1709298475.500,-20.508,-38.574,-35.645,5.371,0.000
1709298475.504,-6.348,-44.434,-28.809,10.742,0.000
1709298475.508,-6.348,-38.574,-28.320,2.441,0.000
1709298475.512,-20.020,-34.668,-40.527,-7.812,0.000
1709298475.515,-25.391,-39.062,-39.551,-14.648,0.000
1709298475.520,-23.926,-47.363,-32.715,-4.883,0.000
1709298475.523,-19.531,-42.480,-34.668,8.301,0.000
1709298475.527,-14.160,-33.691,-34.180,2.930,0.000
1709298475.531,-17.090,-32.715,-32.227,-11.230,0.000
1709298475.535,-30.762,-51.758,-32.715,-17.090,0.000
1709298475.539,-26.367,-68.359,-27.344,3.418,0.000
1709298475.543,-8.301,-49.316,-28.809,19.043,0.000
1709298475.547,-7.812,-33.691,-32.227,8.789,0.000
1709298475.551,-15.137,-33.691,-37.598,-5.371,0.000
1709298475.555,-12.207,-28.320,-36.133,-3.418,0.000
1709298475.559,-6.836,-28.320,-35.645,1.953,0.000
1709298475.563,-0.977,-39.062,-36.621,8.301,0.000
1709298475.567,0.000,-42.969,-31.250,15.625,0.000
1709298475.571,0.000,-41.992,-32.715,1.465,0.000
1709298475.574,0.000,-40.039,-29.785,-15.137,0.000
1709298475.578,0.000,-39.062,-32.715,-7.812,0.000
1709298475.582,0.000,-35.645,-35.156,10.742,0.000
1709298475.586,0.000,-39.551,-31.250,10.254,0.000
1709298475.590,0.000,-45.898,-27.832,0.977,0.000
1709298475.594,0.000,-37.598,-26.367,2.441,0.000
1709298475.598,0.000,-38.086,-33.691,3.906,0.000
1709298475.602,0.000,-42.480,-31.250,14.648,0.000
1709298475.606,0.000,-39.551,-33.203,11.719,0.000
1709298475.610,0.000,-39.062,-45.410,-5.859,0.000
1709298475.614,-7.324,-42.969,-39.062,-8.301,0.000
1709298475.617,-10.742,-39.062,-32.227,-3.418,0.000
1709298475.621,5.371,-37.109,-32.715,-1.465,0.000
1709298475.625,9.277,-43.457,-36.621,-5.371,0.000
1709298475.629,-4.395,-45.410,-42.480,-14.160,0.000
1709298475.633,-12.207,-39.551,-46.875,-20.996,0.000
1709298475.637,-13.672,-44.922,-39.062,-13.672,0.000
1709298475.641,-9.277,-46.387,-34.668,-0.977,0.000
1709298475.645,0.977,-36.621,-35.156,13.672,0.000
1709298475.649,-2.441,-35.156,-42.480,2.930,0.000
1709298475.653,-16.113,-44.922,-44.434,-15.625,0.000
1709298475.657,-22.949,-40.527,-28.809,-13.672,0.000
1709298475.660,-22.949,-35.156,-33.691,-9.766,0.000
1709298475.664,-17.578,-42.480,-36.133,-5.371,0.000
1709298475.668,-11.230,-45.410,-35.645,-10.742,0.000
1709298475.672,-11.230,-49.316,-36.133,-10.742,0.000
1709298475.676,-10.742,-43.457,-33.691,-1.953,0.000
1709298475.680,-10.742,-37.109,-34.668,1.953,0.000
1709298475.684,-4.395,-34.668,-30.762,5.859,0.000
1709298475.688,1.465,-34.668,-31.250,9.277,0.000
1709298475.692,-10.742,-46.875,-37.109,-2.441,0.000
1709298475.696,-23.926,-49.805,-44.922,-20.996,0.000
1709298475.699,-26.367,-45.898,-42.969,-20.508,0.000
1709298475.703,-19.043,-54.199,-37.598,-10.742,0.000
1709298475.707,-5.371,-56.152,-37.109,-0.977,0.000
1709298475.711,-4.883,-51.758,-37.598,-5.371,0.000
1709298475.715,-8.301,-53.223,-32.227,-9.277,0.000
1709298475.719,-11.230,-51.270,-34.668,-7.812,0.000
1709298475.723,-11.230,-34.180,-41.992,-4.395,0.000
1709298475.727,-5.371,-24.414,-34.668,-3.418,0.000
1709298475.731,-13.184,-24.414,-32.227,-8.789,0.000
1709298475.735,-25.879,-37.109,-37.598,-0.977,0.000
1709298475.738,-27.344,-44.922,-42.480,-0.977,0.000
1709298475.742,-18.066,-41.016,-43.945,-11.230,0.000
1709298475.746,-5.371,-42.480,-39.551,-4.883,0.000
1709298475.750,-4.395,-37.598,-32.715,-12.207,0.000
1709298475.754,-15.625,-43.457,-32.715,-18.555,0.000
1709298475.758,-19.043,-44.922,-36.621,-3.906,0.000
1709298475.762,-14.648,-30.762,-31.738,10.742,0.000
1709298475.766,-10.742,-31.250,-24.414,15.137,0.000
1709298475.770,-13.184,-41.992,-25.391,0.977,0.000
1709298475.773,-25.879,-50.293,-27.832,-15.625,0.000
1709298475.777,-33.691,-43.945,-29.297,-14.648,0.000
1709298475.781,-28.320,-35.645,-32.715,-0.977,0.000
1709298475.785,-23.926,-27.344,-32.715,-2.930,0.000
1709298475.789,-24.414,-30.273,-39.062,-18.066,0.000
1709298475.793,-29.785,-39.551,-42.969,-28.320,0.000
1709298475.797,-27.832,-45.410,-37.598,-23.926,0.000
1709298475.801,-11.719,-42.969,-32.227,-8.301,0.000
1709298475.804,-6.348,-43.457,-34.180,-2.930,0.000
1709298475.808,-9.277,-38.574,-36.621,-16.113,0.000
1709298475.812,-12.207,-30.762,-37.598,-23.438,0.000
1709298475.816,-8.789,-39.551,-34.180,-11.230,0.000
1709298475.820,1.953,-56.152,-30.762,0.977,0.000
1709298475.824,0.000,-45.898,-32.715,6.348,0.000
1709298475.828,-2.441,-31.738,-35.156,2.441,0.000
1709298475.832,0.000,-34.668,-33.203,-14.648,0.000
1709298475.836,-2.930,-39.551,-28.809,-8.301,0.000
1709298475.840,-3.418,-39.551,-23.926,9.766,0.000
1709298475.844,-2.930,-41.992,-27.344,15.625,0.000
1709298475.847,6.836,-36.133,-17.578,16.602,0.000
1709298475.851,2.441,-27.344,-18.066,4.395,0.000
1709298475.855,-12.207,-33.203,-31.738,-0.488,0.000
1709298475.859,-10.742,-41.016,-27.344,13.184,0.000
1709298475.863,-1.953,-42.480,-25.391,21.484,0.000
1709298475.867,4.883,-44.434,-22.461,21.973,0.000
1709298475.871,0.488,-39.551,-18.555,12.207,0.000
1709298475.874,-12.695,-33.691,-25.391,-2.441,0.000
1709298475.878,-11.230,-34.180,-25.879,5.371,0.000
1709298475.882,-6.836,-46.387,-22.461,10.742,0.000
1709298475.886,-8.301,-54.199,-26.855,0.488,0.000
1709298475.890,-4.883,-46.875,-25.879,-3.418,0.000
1709298475.894,-9.277,-45.410,-18.066,-1.953,0.000
1709298475.898,-13.184,-38.574,-27.832,-4.883,0.000
1709298475.902,-7.812,-45.410,-38.574,-4.395,0.000
1709298475.906,-5.859,-46.875,-31.250,-7.812,0.000
1709298475.910,-14.648,-36.621,-29.297,-16.602,0.000
1709298475.914,-15.137,-37.598,-28.809,-14.648,0.000
1709298475.918,-4.395,-37.109,-22.949,-8.301,0.000
1709298475.922,1.953,-41.992,-29.785,-7.812,0.000
1709298475.925,3.906,-48.828,-39.062,-6.836,0.000
1709298475.929,0.488,-44.922,-34.668,-6.348,0.000
1709298475.933,-10.742,-49.316,-35.645,-17.578,0.000
1709298475.937,-16.602,-46.875,-40.039,-18.555,0.000
1709298475.941,-10.742,-34.668,-35.156,-11.719,0.000
1709298475.945,-3.418,-35.645,-37.109,-17.578,0.000
1709298475.949,-6.836,-38.574,-48.340,-33.691,0.000
1709298475.953,-16.113,-39.551,-47.852,-39.551,0.000
1709298475.957,-12.207,-41.504,-44.434,-18.555,0.000
1709298475.961,2.441,-34.668,-37.598,2.930,0.000
1709298475.965,5.859,-33.691,-38.574,-2.930,0.000
1709298475.969,0.000,-34.668,-42.969,-15.625,0.000
1709298475.972,6.348,-30.273,-31.250,-0.977,0.000
1709298475.976,1.465,-35.645,-26.367,3.906,0.000
1709298475.980,1.465,-29.785,-30.762,1.953,0.000
1709298475.984,9.277,-28.320,-33.691,11.719,0.000
1709298475.988,-0.977,-37.598,-41.016,3.418,0.000
1709298475.992,-8.301,-25.879,-46.875,-5.371,0.000
1709298475.996,-10.742,-23.438,-36.133,3.418,0.000
1709298476.000,-8.789,-32.227,-23.926,16.113,0.000
1709298476.004,-4.395,-31.250,-29.297,14.648,0.000
1709298476.008,-1.953,-32.715,-26.367,12.207,0.000
1709298476.012,-7.324,-42.969,-28.809,-1.465,0.000
1709298476.016,-16.602,-42.480,-34.180,-15.625,0.000
1709298476.019,-7.812,-35.645,-26.367,4.883,0.000
1709298476.023,0.977,-34.180,-23.438,17.578,0.000
1709298476.027,-2.930,-39.062,-25.391,4.883,0.000
1709298476.031,-9.766,-41.504,-28.809,-11.230,0.000
1709298476.035,-17.578,-33.691,-26.367,-12.207,0.000
1709298476.039,-19.043,-35.156,-27.344,-0.977,0.000
1709298476.043,-5.371,-30.273,-31.738,14.160,0.000
1709298476.047,4.883,-25.391,-29.297,22.949,0.000
1709298476.051,-0.977,-22.949,-31.738,9.277,0.000
