timestamps,TP9,AF7,AF8,TP10,Right AUX
1709214933.903,-39.551,-39.062,0.000,-48.340,0.000
1709214933.907,-56.641,-33.691,0.000,-65.918,0.000
1709214933.911,-57.129,-42.480,0.000,-56.641,0.000
1709214933.914,-35.156,-48.828,0.000,-31.738,0.000
1709214933.918,-30.273,-41.504,0.000,-24.414,0.000
1709214933.922,-43.945,-36.621,0.000,-35.156,0.000
1709214933.926,-52.734,-38.574,0.000,-49.805,0.000
1709214933.930,-50.293,-34.668,0.000,-53.223,0.000
1709214933.934,-40.039,-38.574,0.000,-39.551,0.000
1709214933.938,-27.344,-50.781,0.000,-25.879,0.000
1709214933.942,-29.785,-55.176,0.000,-27.832,0.000
1709214933.946,-44.434,-50.781,0.000,-46.387,0.000
1709214933.949,-51.270,-51.758,-34.180,-50.781,0.000
1709214933.953,-37.598,-48.828,-39.062,-25.391,0.000
1709214933.957,-20.996,-45.898,-46.875,-7.812,0.000
1709214933.961,-22.949,-48.340,-43.945,-14.160,0.000
1709214933.965,-50.293,-45.410,-43.945,-39.551,0.000
1709214933.969,-55.664,-44.922,-45.410,-42.480,0.000
1709214933.973,-31.738,-41.992,-32.715,-12.207,0.000
1709214933.977,-26.855,-43.945,-31.738,-8.301,0.000
1709214933.981,-29.785,-46.387,-36.621,-20.996,0.000
1709214933.985,-37.598,-56.641,-35.156,-39.551,0.000
1709214933.988,-60.547,-69.824,-33.691,-62.500,0.000
1709214933.992,-53.711,-54.688,-32.227,-50.293,0.000
1709214933.996,-30.273,-37.598,-30.273,-28.809,0.000
1709214934.000,-28.320,-44.434,-37.109,-27.344,0.000
1709214934.004,-46.875,-39.062,-49.805,-47.852,0.000
1709214934.008,-67.383,-31.250,-40.039,-64.941,0.000
1709214934.012,-57.129,-37.598,-33.203,-57.129,0.000
1709214934.016,-35.645,-46.387,-37.598,-37.598,0.000
1709214934.019,-32.227,-48.828,-37.109,-31.738,0.000
1709214934.023,-46.387,-45.898,-40.039,-44.434,0.000
1709214934.027,-54.688,-49.805,-42.969,-58.105,0.000
1709214934.031,-43.457,-42.969,-41.016,-41.992,0.000
1709214934.035,-30.762,-54.688,-41.016,-25.391,0.000
1709214934.039,-21.484,-53.711,-52.246,-29.297,0.000
1709214934.043,-33.691,-30.762,-50.781,-42.969,0.000
1709214934.047,-50.781,-33.691,-32.227,-61.523,0.000
1709214934.051,-45.898,-44.434,-39.062,-54.688,0.000
1709214934.055,-29.297,-38.574,-48.828,-32.227,0.000
1709214934.059,-20.508,-35.645,-35.645,-25.879,0.000
1709214934.062,-33.203,-39.551,-36.133,-35.645,0.000
1709214934.066,-48.828,-41.016,-42.480,-53.711,0.000
1709214934.070,-43.457,-40.039,-41.504,-46.875,0.000
1709214934.074,-24.902,-37.109,-38.574,-21.973,0.000
1709214934.078,-13.672,-41.504,-31.250,-15.137,0.000
1709214934.082,-28.809,-52.734,-32.715,-34.180,0.000
1709214934.086,-52.246,-60.059,-37.598,-53.711,0.000
1709214934.090,-52.734,-48.340,-34.668,-50.781,0.000
1709214934.094,-38.574,-38.086,-32.715,-38.086,0.000
1709214934.098,-29.785,-39.062,-38.574,-37.109,0.000
1709214934.102,-37.109,-44.922,-42.969,-54.199,0.000
1709214934.105,-55.176,-50.781,-48.340,-74.707,0.000
1709214934.109,-60.547,-53.223,-37.598,-69.336,0.000
1709214934.113,-47.852,-45.898,-32.227,-54.688,0.000
1709214934.117,-36.133,-44.922,-46.387,-50.293,0.000
1709214934.121,-38.086,-51.758,-41.016,-50.781,0.000
1709214934.125,-48.828,-52.734,-32.715,-64.453,0.000
1709214934.129,-54.199,-52.246,-38.574,-79.590,0.000
1709214934.133,-38.574,-46.875,-35.645,-58.594,0.000
1709214934.137,-26.855,-35.645,-34.668,-33.691,0.000
1709214934.141,-28.809,-28.809,-35.645,-36.621,0.000
1709214934.145,-38.574,-32.227,-27.344,-48.828,0.000
1709214934.149,-46.875,-41.992,-33.203,-46.387,0.000
1709214934.153,-41.016,-42.480,-42.969,-29.297,0.000
1709214934.157,-26.855,-31.250,-35.156,-11.230,0.000
1709214934.160,-17.578,-30.273,-38.086,-10.254,0.000
1709214934.164,-30.273,-38.574,-44.922,-33.691,0.000
1709214934.168,-43.945,-55.176,-34.180,-40.527,0.000
1709214934.172,-31.250,-54.199,-27.344,-20.996,0.000
1709214934.176,-11.719,-38.086,-31.738,-9.766,0.000
1709214934.180,-11.719,-30.273,-29.785,-13.184,0.000
1709214934.184,-32.227,-26.367,-31.738,-27.344,0.000
1709214934.188,-51.270,-32.715,-41.992,-48.828,0.000
1709214934.192,-41.992,-42.480,-35.645,-46.875,0.000
1709214934.196,-22.949,-39.551,-31.250,-25.391,0.000
1709214934.200,-24.414,-42.969,-34.180,-29.297,0.000
1709214934.203,-38.574,-40.527,-37.598,-52.246,0.000
1709214934.207,-45.410,-41.016,-40.527,-63.965,0.000
1709214934.211,-35.645,-45.410,-30.273,-57.129,0.000
1709214934.215,-18.555,-39.062,-33.203,-42.480,0.000
1709214934.219,-25.391,-53.223,-42.969,-41.016,0.000
1709214934.223,-49.805,-48.340,-45.898,-55.664,0.000
1709214934.227,-62.500,-39.062,-41.504,-59.082,0.000
1709214934.231,-56.152,-51.270,-39.062,-48.340,0.000
1709214934.235,-36.621,-48.340,-36.621,-27.832,0.000
1709214934.238,-22.461,-36.133,-34.180,-12.695,0.000
1709214934.242,-36.133,-35.645,-39.062,-28.320,0.000
1709214934.246,-52.734,-33.203,-38.086,-43.945,0.000
1709214934.250,-52.246,-30.762,-40.527,-41.016,0.000
1709214934.254,-30.762,-32.227,-44.434,-16.113,0.000
1709214934.258,-27.344,-52.734,-42.480,-6.836,0.000
1709214934.262,-43.457,-50.781,-45.898,-27.832,0.000
1709214934.266,-55.176,-31.738,-44.434,-49.805,0.000
1709214934.270,-53.223,-39.551,-38.574,-43.945,0.000
1709214934.274,-34.668,-40.039,-37.109,-22.949,0.000
1709214934.278,-25.879,-36.621,-40.527,-20.020,0.000
1709214934.282,-35.645,-46.875,-38.574,-32.715,0.000
1709214934.286,-56.152,-45.898,-40.527,-54.199,0.000
1709214934.289,-57.129,-39.062,-40.527,-61.035,0.000
1709214934.293,-40.527,-40.039,-30.762,-42.480,0.000
1709214934.297,-34.180,-48.828,-32.227,-30.762,0.000
1709214934.301,-38.086,-61.035,-40.527,-25.879,0.000
1709214934.305,-54.199,-52.246,-36.133,-37.598,0.000
1709214934.309,-65.430,-36.621,-33.203,-53.223,0.000
1709214934.313,-49.805,-40.039,-38.086,-42.480,0.000
1709214934.317,-30.273,-37.598,-36.621,-12.695,0.000
1709214934.321,-32.227,-43.945,-43.945,-21.973,0.000
1709214934.325,-40.527,-58.105,-47.363,-54.199,0.000
1709214934.329,-50.781,-58.105,-39.062,-51.270,0.000
